# Generated: 2026-09-17 21:34:50
# DNS server: 167.235.229.36
# Format: Hosts
# Source: .\domains_wiilink.txt

142.250.154.118 gdata.youtube.com
167.235.229.36 cfh.wapp.wii.com
167.235.229.36 miicontest.wapp.wii.com
167.235.229.36 ms.nintendo-europe.com
167.235.229.36 nwcs.wapp.wii.com
167.235.229.36 rs.nintendo.com
167.235.229.36 wii.nintendo.co.jp
167.235.229.36 wiirecommend.nintendo.com.au
167.235.229.36 wus.wapp.wii.com
167.86.108.126 ccs.cdn.sho.rc24.xyz
178.62.43.212 ds.pokemon-gl.com
178.62.43.212 en-ds.pokemon-gl.com
178.62.43.212 es-ds.pokemon-gl.com
178.62.43.212 flipnote.hatena.com
178.62.43.212 fr-ds.pokemon-gl.com
178.62.43.212 it-ds.pokemon-gl.com
178.62.43.212 ko-ds.pokemon-gl.com
178.62.43.212 maintenance.hatena.ne.jp
178.62.43.212 nas.nintendowifi.net
178.62.43.212 pkvldtprod.nintendo.co.jp
178.62.43.212 ugo.hatena.ne.jp
178.62.43.212 ugomemo.hatena.ne.jp
188.114.96.3 geckocodes.org
188.114.97.3 geckocodes.org
188.34.177.217 natneg2.gs.nintendowifi.net
195.201.236.139 sake.gamespy.com
195.201.236.139 a.dls1.wiimmfi.de
195.201.236.139 dls1.ilostmymind.xyz
195.201.236.139 dls1.wiimmfi.de
195.201.236.139 gamestats.gs.nintendowifi.net
195.201.236.139 gamestats2.gs.nintendowifi.net
195.201.236.139 peerchat.gs.nintendowifi.net
20.104.25.104 pkgdsprod.nintendo.co.jp
213.198.82.98 nzone001.nintendo-europe.com
34.117.176.22 syscheck.softwii.de
52.10.63.172 ente.wapp.wii.com
52.10.63.172 entj.wapp.wii.com
52.10.63.172 entu.wapp.wii.com
52.10.63.172 vt.wapp.wii.com
52.33.25.148 ente.wapp.wii.com
52.33.25.148 entj.wapp.wii.com
52.33.25.148 entu.wapp.wii.com
52.33.25.148 vt.wapp.wii.com
69.25.139.140 axing.nintendowifi.net
78.46.231.155 naswii.nintendowifi.net
78.46.231.155 natneg3.gs.nintendowifi.net
78.46.231.155 sake.gs.nintendowifi.net
95.217.77.151 available.gs.nintendowifi.net
95.217.77.151 gamespy.com
95.217.77.151 gpcm.gs.nintendowifi.net
95.217.77.151 gs.nintendowifi.net
95.217.77.151 master.gs.nintendowifi.net
95.217.77.151 natneg1.gs.nintendowifi.net
95.217.77.151 natneg4.gs.nintendowifi.net
95.217.77.151 natneg5.gs.nintendowifi.net
95.217.77.151 natneg6.gs.nintendowifi.net


34.75.107.68 dnas.playstation.org
151.80.238.101 kddi-mmbb.jp
151.80.238.99 corsair.capcom.co.jp
151.80.238.99 skyhawk.capcom.co.jp
151.80.238.99 viper.capcom.co.jp
151.80.238.99 crusader.capcom.co.jp
151.80.238.99 raptor.capcom.co.jp
151.80.238.99 strike-raptor.capcom.co.jp
151.80.238.104 goshawk.capcom.co.jp
151.80.238.104 spector.capcom.co.jp
151.80.238.104 meteor.capcom.co.jp
151.80.238.104 voodoo.capcom.co.jp
